From,To,Hour,Fuel,Value,Technology
NO,UK,9,Power,-0.0,Export
DK,UK,9,Power,-0.0,Export
UK,UK,9,Power,-0.0,Export
DE,DE,10,Power,-0.0,Export
FR,DE,10,Power,-0.0,Export
NO,DE,10,Power,-0.0,Export
DK,DE,10,Power,-0.0,Export
UK,DE,10,Power,-0.0,Export
DE,FR,10,Power,-0.0,Export
FR,FR,10,Power,-0.0,Export
NO,FR,10,Power,-0.0,Export
DK,FR,10,Power,-0.0,Export
UK,FR,10,Power,6.104850812708265,Export
DE,NO,10,Power,-0.0,Export
FR,NO,10,Power,-0.0,Export
NO,NO,10,Power,-0.0,Export
DK,NO,10,Power,-0.0,Export
UK,NO,10,Power,-0.0,Export
DE,DK,10,Power,-0.0,Export
FR,DK,10,Power,-0.0,Export
NO,DK,10,Power,-0.0,Export
DK,DK,10,Power,-0.0,Export
UK,DK,10,Power,-0.0,Export
DE,UK,10,Power,-0.0,Export
FR,UK,10,Power,-0.0,Export
NO,UK,10,Power,-0.0,Export
DK,UK,10,Power,-0.0,Export
UK,UK,10,Power,-0.0,Export
DE,DE,11,Power,-0.0,Export
FR,DE,11,Power,-0.0,Export
NO,DE,11,Power,-0.0,Export
DK,DE,11,Power,-0.0,Export
UK,DE,11,Power,-0.0,Export
DE,FR,11,Power,-0.0,Export
FR,FR,11,Power,-0.0,Export
NO,FR,11,Power,-0.0,Export
DK,FR,11,Power,-0.0,Export
UK,FR,11,Power,6.104850812708265,Export
DE,NO,11,Power,-0.0,Export
FR,NO,11,Power,-0.0,Export
NO,NO,11,Power,-0.0,Export
DK,NO,11,Power,-0.0,Export
UK,NO,11,Power,-0.0,Export
DE,DK,11,Power,-0.0,Export
FR,DK,11,Power,-0.0,Export
NO,DK,11,Power,-0.0,Export
DK,DK,11,Power,-0.0,Export
UK,DK,11,Power,-0.0,Export
DE,UK,11,Power,-0.0,Export
FR,UK,11,Power,-0.0,Export
NO,UK,11,Power,-0.0,Export
DK,UK,11,Power,-0.0,Export
UK,UK,11,Power,-0.0,Export
DE,DE,12,Power,-0.0,Export
FR,DE,12,Power,-0.0,Export
NO,DE,12,Power,-0.0,Export
DK,DE,12,Power,-0.0,Export
UK,DE,12,Power,-0.0,Export
DE,FR,12,Power,-0.0,Export
FR,FR,12,Power,-0.0,Export
NO,FR,12,Power,-0.0,Export
DK,FR,12,Power,-0.0,Export
UK,FR,12,Power,6.104850812708265,Export
DE,NO,12,Power,-0.0,Export
FR,NO,12,Power,-0.0,Export
NO,NO,12,Power,-0.0,Export
DK,NO,12,Power,-0.0,Export
UK,NO,12,Power,-0.0,Export
DE,DK,12,Power,-0.0,Export
FR,DK,12,Power,-0.0,Export
NO,DK,12,Power,-0.0,Export
DK,DK,12,Power,-0.0,Export
UK,DK,12,Power,-0.0,Export
DE,UK,12,Power,-0.0,Export
FR,UK,12,Power,-0.0,Export
NO,UK,12,Power,-0.0,Export
DK,UK,12,Power,-0.0,Export
UK,UK,12,Power,-0.0,Export
DE,DE,13,Power,-0.0,Export
FR,DE,13,Power,-0.0,Export
NO,DE,13,Power,-0.0,Export
DK,DE,13,Power,-0.0,Export
UK,DE,13,Power,-0.0,Export
DE,FR,13,Power,-0.0,Export
FR,FR,13,Power,-0.0,Export
NO,FR,13,Power,-0.0,Export
DK,FR,13,Power,-0.0,Export
UK,FR,13,Power,6.104850812708265,Export
DE,NO,13,Power,-0.0,Export
FR,NO,13,Power,-0.0,Export
NO,NO,13,Power,-0.0,Export
DK,NO,13,Power,-0.0,Export
UK,NO,13,Power,-0.0,Export
DE,DK,13,Power,-0.0,Export
FR,DK,13,Power,-0.0,Export
NO,DK,13,Power,-0.0,Export
DK,DK,13,Power,-0.0,Export
UK,DK,13,Power,-0.0,Export
DE,UK,13,Power,-0.0,Export
FR,UK,13,Power,-0.0,Export
NO,UK,13,Power,-0.0,Export
DK,UK,13,Power,-0.0,Export
UK,UK,13,Power,-0.0,Export
DE,DE,14,Power,-0.0,Export
FR,DE,14,Power,-0.0,Export
NO,DE,14,Power,-0.0,Export
DK,DE,14,Power,-0.0,Export
UK,DE,14,Power,-0.0,Export
DE,FR,14,Power,2.7041289774316932,Export
FR,FR,14,Power,-0.0,Export
NO,FR,14,Power,-0.0,Export
DK,FR,14,Power,-0.0,Export
UK,FR,14,Power,6.104850812708265,Export
DE,NO,14,Power,-0.0,Export
FR,NO,14,Power,-0.0,Export
NO,NO,14,Power,-0.0,Export
DK,NO,14,Power,2.3054745385789195,Export
UK,NO,14,Power,-0.0,Export
DE,DK,14,Power,5.090314912332051,Export
FR,DK,14,Power,-0.0,Export
NO,DK,14,Power,-0.0,Export
DK,DK,14,Power,-0.0,Export
UK,DK,14,Power,-0.0,Export
DE,UK,14,Power,-0.0,Export
FR,UK,14,Power,-0.0,Export
NO,UK,14,Power,-0.0,Export
DK,UK,14,Power,-0.0,Export
UK,UK,14,Power,-0.0,Export
DE,DE,15,Power,-0.0,Export
FR,DE,15,Power,-0.0,Export
NO,DE,15,Power,-0.0,Export
DK,DE,15,Power,-0.0,Export
UK,DE,15,Power,-0.0,Export
DE,FR,15,Power,10.459184340509205,Export
FR,FR,15,Power,-0.0,Export
NO,FR,15,Power,-0.0,Export
DK,FR,15,Power,-0.0,Export
UK,FR,15,Power,6.104850812708265,Export
DE,NO,15,Power,-0.0,Export
FR,NO,15,Power,-0.0,Export
NO,NO,15,Power,-0.0,Export
DK,NO,15,Power,-0.0,Export
UK,NO,15,Power,-0.0,Export
DE,DK,15,Power,5.090314912332051,Export
FR,DK,15,Power,-0.0,Export
NO,DK,15,Power,0.37382961722221886,Export
DK,DK,15,Power,-0.0,Export
UK,DK,15,Power,-0.0,Export
DE,UK,15,Power,-0.0,Export
FR,UK,15,Power,-0.0,Export
NO,UK,15,Power,-0.0,Export
DK,UK,15,Power,-0.0,Export
UK,UK,15,Power,-0.0,Export
DE,DE,16,Power,-0.0,Export
FR,DE,16,Power,-0.0,Export
NO,DE,16,Power,-0.0,Export
DK,DE,16,Power,-0.0,Export
UK,DE,16,Power,-0.0,Export
DE,FR,16,Power,10.459184340509205,Export
FR,FR,16,Power,-0.0,Export
NO,FR,16,Power,-0.0,Export
DK,FR,16,Power,-0.0,Export
UK,FR,16,Power,6.104850812708265,Export
DE,NO,16,Power,-0.0,Export
FR,NO,16,Power,-0.0,Export
NO,NO,16,Power,-0.0,Export
DK,NO,16,Power,-0.0,Export
UK,NO,16,Power,-0.0,Export
DE,DK,16,Power,0.974637587394341,Export
FR,DK,16,Power,-0.0,Export
NO,DK,16,Power,-0.0,Export
DK,DK,16,Power,-0.0,Export
UK,DK,16,Power,-0.0,Export
DE,UK,16,Power,-0.0,Export
FR,UK,16,Power,-0.0,Export
