region,hour,technology,value
DK,5,WindOffshore,0.386404779
DK,6,WindOffshore,0.348452118
DK,7,WindOffshore,0.581491078
DK,8,WindOffshore,0.634961129
DK,9,WindOffshore,0.657724097
DK,10,WindOffshore,0.650516926
DK,11,WindOffshore,0.796684145
DK,12,WindOffshore,0.633158525
DK,13,WindOffshore,0.324847224
DK,14,WindOffshore,0.115779042
DK,15,WindOffshore,0.020896919
DK,16,WindOffshore,0.267011331
DK,17,WindOffshore,0.300059978
DK,18,WindOffshore,0.570566925
DK,19,WindOffshore,0.42274939
DK,20,WindOffshore,0.717472821
DK,21,WindOffshore,0.416834738
DK,22,WindOffshore,0.693652446
DK,23,WindOffshore,0.344028158
DK,24,WindOffshore,0.413515675
DK,25,WindOffshore,0.437550107
DK,26,WindOffshore,0.596509262
DK,27,WindOffshore,0.740542191
DK,28,WindOffshore,0.501398249
DK,29,WindOffshore,0.430116233
DK,30,WindOffshore,0.226265858
DK,31,WindOffshore,0.24299401
DK,32,WindOffshore,0.139714477
DK,33,WindOffshore,0.358860229
DK,34,WindOffshore,0.429413209
DK,35,WindOffshore,0.531703804
DK,36,WindOffshore,0.301684846
DK,37,WindOffshore,0.393766717
DK,38,WindOffshore,0.332644378
DK,39,WindOffshore,0.651816598
DK,40,WindOffshore,0.367855332
DK,41,WindOffshore,0.331793436
DK,42,WindOffshore,0.04989315
DK,43,WindOffshore,0.0929109
DK,44,WindOffshore,0.283402006
DK,45,WindOffshore,0.437580464
DK,46,WindOffshore,0.365858166
DK,47,WindOffshore,0.193248267
DK,48,WindOffshore,0.074806149
DK,49,WindOffshore,0.16674511
DK,50,WindOffshore,0.438538796
DK,51,WindOffshore,0.381144068
DK,52,WindOffshore,0.403576578
DK,53,WindOffshore,0.128620829
DK,54,WindOffshore,0.476061138
DK,55,WindOffshore,0.394199497
DK,56,WindOffshore,0.38757542
DK,57,WindOffshore,0.183516668
DK,58,WindOffshore,0.496479975
DK,59,WindOffshore,0.787173013
DK,60,WindOffshore,0.648474913
DK,61,WindOffshore,0.441161582
DK,62,WindOffshore,0.152248916
DK,63,WindOffshore,0.157546311
DK,64,WindOffshore,0.253290691
DK,65,WindOffshore,0.328310644
DK,66,WindOffshore,0.313248207
DK,67,WindOffshore,0.118206564
DK,69,WindOffshore,0.083244751
DK,70,WindOffshore,0.098974032
DK,71,WindOffshore,0.135389692
DK,72,WindOffshore,0.092949801
DK,73,WindOffshore,0.323113344
DK,74,WindOffshore,0.634936745
DK,75,WindOffshore,0.605880093
DK,76,WindOffshore,0.42148307
DK,77,WindOffshore,0.15927253
DK,78,WindOffshore,0.267241888
