Year,Region,Technology,Value,Type
2040,NO,BEV,3.9692853750000006,NewCapacity
2050,NO,BEV,995.030714625,NewCapacity
2020,DK,BEV,-0.0,NewCapacity
2030,DK,BEV,0.0,NewCapacity
2040,DK,BEV,4.8586005000000005,NewCapacity
2050,DK,BEV,994.1413995,NewCapacity
2020,UK,BEV,0.16300000000000026,NewCapacity
2030,UK,BEV,4.7891848430267,NewCapacity
2040,UK,BEV,13.1288176569733,NewCapacity
2050,UK,BEV,985.8711823430267,NewCapacity
2020,DE,LPGCar,0.0,NewCapacity
2030,DE,LPGCar,9.4158,NewCapacity
2040,DE,LPGCar,22.97487,NewCapacity
2050,DE,LPGCar,976.02513,NewCapacity
2020,FR,LPGCar,0.0,NewCapacity
2030,FR,LPGCar,9.930499999999999,NewCapacity
2040,FR,LPGCar,5.860090000000001,NewCapacity
2050,FR,LPGCar,993.13991,NewCapacity
2020,NO,LPGCar,0.0,NewCapacity
2030,NO,LPGCar,0.8727975000000003,NewCapacity
2040,NO,LPGCar,3.5809196250000004,NewCapacity
2050,NO,LPGCar,995.419080375,NewCapacity
2020,DK,LPGCar,0.0,NewCapacity
2030,DK,LPGCar,1.2248700000000001,NewCapacity
2040,DK,LPGCar,3.6337305000000004,NewCapacity
2050,DK,LPGCar,995.3662695,NewCapacity
2020,UK,LPGCar,0.0,NewCapacity
2030,UK,LPGCar,9.07665,NewCapacity
2040,UK,LPGCar,2.040284999999999,NewCapacity
2050,UK,LPGCar,996.959715,NewCapacity
2020,DE,WindOnshore,25.0,NewCapacity
2030,DE,WindOnshore,27.0,NewCapacity
2040,DE,WindOnshore,32.0,NewCapacity
2050,DE,WindOnshore,71.0,NewCapacity
2020,FR,WindOnshore,24.0,NewCapacity
2030,FR,WindOnshore,37.0,NewCapacity
2040,FR,WindOnshore,56.5,NewCapacity
2050,FR,WindOnshore,86.5,NewCapacity
2020,NO,WindOnshore,-0.0,NewCapacity
2030,NO,WindOnshore,13.5,NewCapacity
2040,NO,WindOnshore,15.75,NewCapacity
2050,NO,WindOnshore,16.75,NewCapacity
2020,DK,WindOnshore,-0.0,NewCapacity
2030,DK,WindOnshore,19.75,NewCapacity
2040,DK,WindOnshore,24.625,NewCapacity
2050,DK,WindOnshore,25.625,NewCapacity
2020,UK,WindOnshore,10.0,NewCapacity
2030,UK,WindOnshore,43.0,NewCapacity
2040,UK,WindOnshore,68.0,NewCapacity
2050,UK,WindOnshore,99.0,NewCapacity
2020,DE,WindOffshore,3.0,NewCapacity
2030,DE,WindOffshore,10.5,NewCapacity
2040,DE,WindOffshore,14.75,NewCapacity
2050,DE,WindOffshore,34.875,NewCapacity
2020,FR,WindOffshore,-0.0,NewCapacity
2030,FR,WindOffshore,6.5,NewCapacity
2040,FR,WindOffshore,16.25,NewCapacity
2050,FR,WindOffshore,13.125,NewCapacity
2020,NO,WindOffshore,-0.0,NewCapacity
2030,NO,WindOffshore,5.0,NewCapacity
2040,NO,WindOffshore,3.0,NewCapacity
2050,NO,WindOffshore,17.0,NewCapacity
2020,DK,WindOffshore,-0.0,NewCapacity
2030,DK,WindOffshore,7.0,NewCapacity
2040,DK,WindOffshore,5.0,NewCapacity
2050,DK,WindOffshore,28.0,NewCapacity
2020,UK,WindOffshore,-0.0,NewCapacity
2030,UK,WindOffshore,4.0,NewCapacity
2040,UK,WindOffshore,14.5,NewCapacity
2050,UK,WindOffshore,20.75,NewCapacity
2020,DE,ElectricHeater,-0.0,NewCapacity
2030,DE,ElectricHeater,-0.0,NewCapacity
2040,DE,ElectricHeater,20.59911,NewCapacity
2050,DE,ElectricHeater,978.40089,NewCapacity
2020,FR,ElectricHeater,-0.0,NewCapacity
2030,FR,ElectricHeater,3.26545948242628,NewCapacity
2040,FR,ElectricHeater,8.004705289350417,NewCapacity
2050,FR,ElectricHeater,987.7298352282232,NewCapacity
2020,NO,ElectricHeater,-0.0,NewCapacity
2030,NO,ElectricHeater,0.0,NewCapacity
2040,NO,ElectricHeater,2.06388,NewCapacity
2050,NO,ElectricHeater,996.93612,NewCapacity
2020,DK,ElectricHeater,-0.0,NewCapacity
2030,DK,ElectricHeater,-0.0,NewCapacity
2040,DK,ElectricHeater,20.55942,NewCapacity
2050,DK,ElectricHeater,978.44058,NewCapacity
2020,UK,ElectricHeater,-0.0,NewCapacity
2030,UK,ElectricHeater,-0.0,NewCapacity
2040,UK,ElectricHeater,49.059223019090915,NewCapacity
2050,UK,ElectricHeater,949.940776980909,NewCapacity
2020,DE,BiomassGenerator,0.0,NewCapacity
2030,DE,BiomassGenerator,0.0,NewCapacity
2040,DE,BiomassGenerator,12.5,NewCapacity
2050,DE,BiomassGenerator,7.5,NewCapacity
2020,FR,BiomassGenerator,-0.0,NewCapacity
2030,FR,BiomassGenerator,2.5,NewCapacity
2040,FR,BiomassGenerator,3.75,NewCapacity
2050,FR,BiomassGenerator,3.75,NewCapacity
2020,NO,BiomassGenerator,0.0,NewCapacity
2030,NO,BiomassGenerator,1.25,NewCapacity
2040,NO,BiomassGenerator,1.875,NewCapacity
2050,NO,BiomassGenerator,1.875,NewCapacity
2020,DK,BiomassGenerator,0.0,NewCapacity
2030,DK,BiomassGenerator,0.0,NewCapacity
2040,DK,BiomassGenerator,3.125,NewCapacity
2050,DK,BiomassGenerator,1.875,NewCapacity
2020,UK,BiomassGenerator,0.0,NewCapacity
2030,UK,BiomassGenerator,2.5,NewCapacity
2040,UK,BiomassGenerator,3.75,NewCapacity
2050,UK,BiomassGenerator,3.75,NewCapacity
2020,DE,BECCS,-0.0,NewCapacity
2030,DE,BECCS,1.2455953870725716,NewCapacity
2040,DE,BECCS,8.754404612927429,NewCapacity
2050,DE,BECCS,989.0,NewCapacity
2020,FR,BECCS,5.0,NewCapacity
2030,FR,BECCS,0.0,NewCapacity
2040,FR,BECCS,0.0,NewCapacity
2050,FR,BECCS,994.0,NewCapacity
2020,NO,BECCS,-0.0,NewCapacity
2030,NO,BECCS,2.5,NewCapacity
2040,NO,BECCS,0.0,NewCapacity
2050,NO,BECCS,996.5,NewCapacity
2020,DK,BECCS,-0.0,NewCapacity
2030,DK,BECCS,0.0,NewCapacity
2040,DK,BECCS,2.5,NewCapacity
2050,DK,BECCS,996.5,NewCapacity
2020,UK,BECCS,-0.0,NewCapacity
2030,UK,BECCS,5.0,NewCapacity
2040,UK,BECCS,0.0,NewCapacity
2050,UK,BECCS,994.0,NewCapacity
2020,DE,SolarPV,98.0,AccumulatedCapacity
2030,DE,SolarPV,136.0,AccumulatedCapacity
2040,DE,SolarPV,198.0,AccumulatedCapacity
2050,DE,SolarPV,400.0,AccumulatedCapacity
2020,FR,SolarPV,130.0,AccumulatedCapacity
2030,FR,SolarPV,179.0,AccumulatedCapacity
2040,FR,SolarPV,246.0,AccumulatedCapacity
2050,FR,SolarPV,600.0,AccumulatedCapacity
2020,NO,SolarPV,17.0,AccumulatedCapacity
2030,NO,SolarPV,23.0,AccumulatedCapacity
2040,NO,SolarPV,34.0,AccumulatedCapacity
2050,NO,SolarPV,67.0,AccumulatedCapacity
2020,DK,SolarPV,30.0,AccumulatedCapacity
2030,DK,SolarPV,41.0,AccumulatedCapacity
2040,DK,SolarPV,60.0,AccumulatedCapacity
2050,DK,SolarPV,120.0,AccumulatedCapacity
2020,UK,SolarPV,58.0,AccumulatedCapacity
2030,UK,SolarPV,81.0,AccumulatedCapacity
2040,UK,SolarPV,130.0,AccumulatedCapacity
2050,UK,SolarPV,97.0,AccumulatedCapacity
2020,DE,CoalMine,-0.0,AccumulatedCapacity
2030,DE,CoalMine,-0.0,AccumulatedCapacity
2040,DE,CoalMine,0.0,AccumulatedCapacity
2050,DE,CoalMine,0.0,AccumulatedCapacity
2020,FR,CoalMine,-0.0,AccumulatedCapacity
2030,FR,CoalMine,-0.0,AccumulatedCapacity
2040,FR,CoalMine,-0.0,AccumulatedCapacity
2050,FR,CoalMine,0.0,AccumulatedCapacity
2020,NO,CoalMine,-0.0,AccumulatedCapacity
2030,NO,CoalMine,-0.0,AccumulatedCapacity
2040,NO,CoalMine,0.0,AccumulatedCapacity
2050,NO,CoalMine,0.0,AccumulatedCapacity
2020,DK,CoalMine,-0.0,AccumulatedCapacity
2030,DK,CoalMine,-0.0,AccumulatedCapacity
2040,DK,CoalMine,-0.0,AccumulatedCapacity
2050,DK,CoalMine,0.0,AccumulatedCapacity
2020,UK,CoalMine,125.51084185975992,AccumulatedCapacity
2030,UK,CoalMine,100.51084185975992,AccumulatedCapacity
2040,UK,CoalMine,44.26084185975992,AccumulatedCapacity
2050,UK,CoalMine,999.0,AccumulatedCapacity
2020,DE,GasExtractor,165.11339067024872,AccumulatedCapacity
2030,DE,GasExtractor,156.42895326948081,AccumulatedCapacity
2040,DE,GasExtractor,176.18890616925728,AccumulatedCapacity
2050,DE,GasExtractor,999.0,AccumulatedCapacity
2020,FR,GasExtractor,-0.0,AccumulatedCapacity
2030,FR,GasExtractor,-0.0,AccumulatedCapacity
2040,FR,GasExtractor,-0.0,AccumulatedCapacity
2050,FR,GasExtractor,-0.0,AccumulatedCapacity
2020,NO,GasExtractor,120.0,AccumulatedCapacity
2030,NO,GasExtractor,90.0,AccumulatedCapacity
2040,NO,GasExtractor,33.709115231146505,AccumulatedCapacity
2050,NO,GasExtractor,999.0,AccumulatedCapacity
2020,DK,GasExtractor,-0.0,AccumulatedCapacity
2030,DK,GasExtractor,-0.0,AccumulatedCapacity
2040,DK,GasExtractor,-0.0,AccumulatedCapacity
2050,DK,GasExtractor,0.0,AccumulatedCapacity
2020,UK,GasExtractor,-0.0,AccumulatedCapacity
2030,UK,GasExtractor,-0.0,AccumulatedCapacity
2040,UK,GasExtractor,-0.0,AccumulatedCapacity
2050,UK,GasExtractor,-0.0,AccumulatedCapacity
2020,DE,CoalPowerPlant,0.0,AccumulatedCapacity
2030,DE,CoalPowerPlant,0.0,AccumulatedCapacity
2040,DE,CoalPowerPlant,0.0,AccumulatedCapacity
2050,DE,CoalPowerPlant,999.0,AccumulatedCapacity
2020,FR,CoalPowerPlant,5.46741983742,AccumulatedCapacity
2030,FR,CoalPowerPlant,5.46741983742,AccumulatedCapacity
2040,FR,CoalPowerPlant,5.46741983742,AccumulatedCapacity
2050,FR,CoalPowerPlant,999.0,AccumulatedCapacity
2020,NO,CoalPowerPlant,-0.0,AccumulatedCapacity
2030,NO,CoalPowerPlant,0.0,AccumulatedCapacity
2040,NO,CoalPowerPlant,0.0,AccumulatedCapacity
2050,NO,CoalPowerPlant,999.0,AccumulatedCapacity
2020,DK,CoalPowerPlant,0.0,AccumulatedCapacity
2030,DK,CoalPowerPlant,0.0,AccumulatedCapacity
2040,DK,CoalPowerPlant,0.0,AccumulatedCapacity
2050,DK,CoalPowerPlant,999.0,AccumulatedCapacity
2020,UK,CoalPowerPlant,-0.0,AccumulatedCapacity
2030,UK,CoalPowerPlant,-0.0,AccumulatedCapacity
2040,UK,CoalPowerPlant,-0.0,AccumulatedCapacity
2050,UK,CoalPowerPlant,999.0,AccumulatedCapacity
2020,DE,GasPowerPlant,0.0,AccumulatedCapacity
2030,DE,GasPowerPlant,-0.0,AccumulatedCapacity
2040,DE,GasPowerPlant,0.0,AccumulatedCapacity
2050,DE,GasPowerPlant,999.0,AccumulatedCapacity
2020,FR,GasPowerPlant,4.633096490580002,AccumulatedCapacity
2030,FR,GasPowerPlant,3.633096490580002,AccumulatedCapacity
2040,FR,GasPowerPlant,1.383096490580002,AccumulatedCapacity
2050,FR,GasPowerPlant,999.0,AccumulatedCapacity
2020,NO,GasPowerPlant,30.0,AccumulatedCapacity
2030,NO,GasPowerPlant,22.5,AccumulatedCapacity
2040,NO,GasPowerPlant,5.625,AccumulatedCapacity
2050,NO,GasPowerPlant,999.0,AccumulatedCapacity
2020,DK,GasPowerPlant,0.0,AccumulatedCapacity
2030,DK,GasPowerPlant,0.0,AccumulatedCapacity
2040,DK,GasPowerPlant,0.0,AccumulatedCapacity
2050,DK,GasPowerPlant,999.0,AccumulatedCapacity
2020,UK,GasPowerPlant,3.0,AccumulatedCapacity
2030,UK,GasPowerPlant,2.25,AccumulatedCapacity
2040,UK,GasPowerPlant,0.5625,AccumulatedCapacity
2050,UK,GasPowerPlant,999.0,AccumulatedCapacity
2020,DE,CoalCHPPlant,0.0,AccumulatedCapacity
2030,DE,CoalCHPPlant,-0.0,AccumulatedCapacity
2040,DE,CoalCHPPlant,-0.0,AccumulatedCapacity
2050,DE,CoalCHPPlant,999.0,AccumulatedCapacity
2020,FR,CoalCHPPlant,35.66,AccumulatedCapacity
2030,FR,CoalCHPPlant,34.629000000000005,AccumulatedCapacity
2040,FR,CoalCHPPlant,23.379000000000005,AccumulatedCapacity
2050,FR,CoalCHPPlant,999.0,AccumulatedCapacity
2020,NO,CoalCHPPlant,0.0,AccumulatedCapacity
2030,NO,CoalCHPPlant,0.0,AccumulatedCapacity
2040,NO,CoalCHPPlant,0.0,AccumulatedCapacity
2050,NO,CoalCHPPlant,999.0,AccumulatedCapacity
2020,DK,CoalCHPPlant,10.0,AccumulatedCapacity
2030,DK,CoalCHPPlant,7.5,AccumulatedCapacity
2040,DK,CoalCHPPlant,1.875,AccumulatedCapacity
2050,DK,CoalCHPPlant,999.0,AccumulatedCapacity
2020,UK,CoalCHPPlant,100.0,AccumulatedCapacity
2030,UK,CoalCHPPlant,94.12375000000002,AccumulatedCapacity
2040,UK,CoalCHPPlant,37.873750000000015,AccumulatedCapacity
2050,UK,CoalCHPPlant,999.0,AccumulatedCapacity
2020,DE,GasCHPPlant,200.0,AccumulatedCapacity
2030,DE,GasCHPPlant,198.639,AccumulatedCapacity
2040,DE,GasCHPPlant,208.57095,AccumulatedCapacity
2050,DE,GasCHPPlant,999.0,AccumulatedCapacity
2020,FR,GasCHPPlant,12.0,AccumulatedCapacity
2030,FR,GasCHPPlant,17.642500000000002,AccumulatedCapacity
2040,FR,GasCHPPlant,30.0,AccumulatedCapacity
2050,FR,GasCHPPlant,999.0,AccumulatedCapacity
2020,NO,GasCHPPlant,12.0,AccumulatedCapacity
2030,NO,GasCHPPlant,11.102,AccumulatedCapacity
2040,NO,GasCHPPlant,11.6571,AccumulatedCapacity
2050,NO,GasCHPPlant,999.0,AccumulatedCapacity
2020,DK,GasCHPPlant,26.360666666666667,AccumulatedCapacity
2030,DK,GasCHPPlant,34.734,AccumulatedCapacity
2040,DK,GasCHPPlant,36.4707,AccumulatedCapacity
2050,DK,GasCHPPlant,999.0,AccumulatedCapacity
2020,UK,GasCHPPlant,20.0,AccumulatedCapacity
2030,UK,GasCHPPlant,26.3983773378,AccumulatedCapacity
2040,UK,GasCHPPlant,46.00622737979797,AccumulatedCapacity
2050,UK,GasCHPPlant,999.0,AccumulatedCapacity
2020,DE,Power2Gas,30.49992293025409,AccumulatedCapacity
2030,DE,Power2Gas,30.0,AccumulatedCapacity
2040,DE,Power2Gas,48.125,AccumulatedCapacity
2050,DE,Power2Gas,999.0,AccumulatedCapacity
2020,FR,Power2Gas,18.989570538000002,AccumulatedCapacity
2030,FR,Power2Gas,22.916666666666664,AccumulatedCapacity
2040,FR,Power2Gas,38.706006504802176,AccumulatedCapacity
2050,FR,Power2Gas,999.0,AccumulatedCapacity
2020,NO,Power2Gas,8.0,AccumulatedCapacity
2030,NO,Power2Gas,9.834163118791126,AccumulatedCapacity
2040,NO,Power2Gas,9.072936878000002,AccumulatedCapacity
2050,NO,Power2Gas,999.0,AccumulatedCapacity
2020,DK,Power2Gas,9.0,AccumulatedCapacity
2030,DK,Power2Gas,12.708333333333334,AccumulatedCapacity
2040,DK,Power2Gas,21.3305514805,AccumulatedCapacity
2050,DK,Power2Gas,999.0,AccumulatedCapacity
2020,UK,Power2Gas,15.0,AccumulatedCapacity
2030,UK,Power2Gas,18.833333333333336,AccumulatedCapacity
2040,UK,Power2Gas,24.725853044166666,AccumulatedCapacity
2050,UK,Power2Gas,999.0,AccumulatedCapacity
2020,DE,H2Car,0.0,AccumulatedCapacity
2030,DE,H2Car,-0.0,AccumulatedCapacity
2040,DE,H2Car,0.0,AccumulatedCapacity
2050,DE,H2Car,999.0,AccumulatedCapacity
2020,FR,H2Car,-0.0,AccumulatedCapacity
2030,FR,H2Car,-0.0,AccumulatedCapacity
2040,FR,H2Car,0.0,AccumulatedCapacity
2050,FR,H2Car,999.0,AccumulatedCapacity
2020,NO,H2Car,0.0,AccumulatedCapacity
2030,NO,H2Car,0.0,AccumulatedCapacity
2040,NO,H2Car,0.0,AccumulatedCapacity
2050,NO,H2Car,999.0,AccumulatedCapacity
2020,DK,H2Car,0.0,AccumulatedCapacity
2030,DK,H2Car,0.0,AccumulatedCapacity
2040,DK,H2Car,0.0,AccumulatedCapacity
2050,DK,H2Car,999.0,AccumulatedCapacity
2020,UK,H2Car,-0.0,AccumulatedCapacity
2030,UK,H2Car,0.0,AccumulatedCapacity
2040,UK,H2Car,-0.0,AccumulatedCapacity
2050,UK,H2Car,999.0,AccumulatedCapacity
2020,DE,BEV,0.0,AccumulatedCapacity
2030,DE,BEV,0.0,AccumulatedCapacity
2040,DE,BEV,32.39067,AccumulatedCapacity
2050,DE,BEV,999.0,AccumulatedCapacity
2020,FR,BEV,14.505141707986231,AccumulatedCapacity
2030,FR,BEV,16.780684493847062,AccumulatedCapacity
2040,FR,BEV,26.992225,AccumulatedCapacity
2050,FR,BEV,999.0,AccumulatedCapacity
2020,NO,BEV,0.0,AccumulatedCapacity
2030,NO,BEV,0.0,AccumulatedCapacity
2040,NO,BEV,3.9692853750000006,AccumulatedCapacity
2050,NO,BEV,999.0,AccumulatedCapacity
2020,DK,BEV,0.0,AccumulatedCapacity
2030,DK,BEV,-0.0,AccumulatedCapacity
